State,First Dose Administered,Second Dose Administered,Male(Individuals Vaccinated),Female(Individuals Vaccinated)
Andhra Pradesh,5877300,4709645,3066653,2810647
Arunachal Pradesh,52867890,34708409,26791827,26076063
Assam,36274944,25607699,18241264,18033680
Bihar,33048538,16950880,16461170,16587368
Chhattisgarh,31531070,15814046,16327322,15203748
Goa,6079829,4564622,3050303,3029526
Gujarat,35065708,23213263,17015950,18049758
Haryana,11991274,8446128,5840713,6150561
Himachal Pradesh,4378628,3477723,2354448,2024180
Jharkhand,25822372,18995537,13802441,12019931
Karnataka,64256126,44922147,33540568,30715558
Kerala,49952652,35048939,24774127,25178525
Madhya Pradesh,57100031,33505015,30728414,26371617
Maharashtra,39088154,18131744,20588710,18499444
Manipur,43935267,28405152,22978733,20956534
Meghalaya,30365431,16596624,15394110,14971321
Mizoram,6522886,4134452,3237533,3285353
Nagaland,40459458,33744457,19654535,20804923
Odisha,26754380,14855978,14291016,12463364
Punjab,25712619,12245280,13045209,12667410
Rajasthan,24365743,14049841,11991400,12374343
Sikkim,10704352,6231187,5334593,5369759
Tamil Nadu,65484897,48973694,33708558,31776339
Telangana,51938972,36391792,25481590,26457382
Tripura,34814042,27947118,18500072,16313970
Uttar Pradesh,28528979,21366524,14992297,13536682
Uttarakhand,57420552,36339979,30040582,27379970
West Bengal,30825918,25163479,15595620,15230298
Andaman and Nicobar Islands,23675448,12432873,12255324,11420124
Chandigarh,29748646,13690934,15321917,14426729
Dadra and Nagar Haveli and Daman and Diu,11108376,5448897,5765144,5343232
Delhi,4757763,3687559,2307832,2449931
Jammu and Kashmir,39288731,25845885,19838783,19449948
Ladakh,4576895,2391758,2208337,2368558
Lakshadweep,56048284,37858942,28564416,27483868
Puducherry,55120194,28582049,27548613,27571581
